sikayet_metni,mudurluk_slug
100 yıl caddesinde kaldırım taşları çökmüş yürümek zor,FEN_ISLERI
sokakta derin çukur var araç lastiği patladı,FEN_ISLERI
gece sokak lambası yanmıyor güvenlik sorunu,FEN_ISLERI
kanalizasyon kapağı açık çocuklar düşebilir,FEN_ISLERI
asfalt yol çatlamış su birikiyor,FEN_ISLERI
bordür taşları yola kaymış,FEN_ISLERI
su borusu patladı cadde su altında kaldı,FEN_ISLERI
kaldırım rampası kırık engelli geçemiyor,FEN_ISLERI
trafik levhası devrilmiş görünmüyor,FEN_ISLERI
menfez tıkalı yağmurda su birikiyor,FEN_ISLERI
yaya geçidi çizgileri silinmiş,FEN_ISLERI
köprü korkuluğu gevşemiş tehlikeli,FEN_ISLERI
sokak adı tabelası eksik adres bulunamıyor,FEN_ISLERI
parke taşı kalkmış tekerlek takılıyor,FEN_ISLERI
istinat duvarı çatlak yıkılma riski,FEN_ISLERI
yağmur gideri tıkalı mahalle su bastı,FEN_ISLERI
elektrik direği eğilmiş teller sarkıyor,FEN_ISLERI
okul önü kaldırım dar trafik sıkışıyor,FEN_ISLERI
cadde ortasında çukur bisiklet devrildi,FEN_ISLERI
altyapı çalışması sonrası yol düzeltilmemiş,FEN_ISLERI
kırık cam ve moloz yol kenarında duruyor,FEN_ISLERI
şantiye molozu kaldırıma dökülmüş,FEN_ISLERI
kavşakta zemin çökmüş,FEN_ISLERI
sinyalizasyon arızalı kaza riski,FEN_ISLERI
yağmur sonrası çukur büyüdü,FEN_ISLERI
çöp konteyneri taşıyor sokak kokuyor,TEMIZLIK_ISLERI
çöpler toplanmadı üç gündür birikti,TEMIZLIK_ISLERI
evsel atık kamyonu gelmedi,TEMIZLIK_ISLERI
sokak süpürülmemiş toz ve kırıntı var,TEMIZLIK_ISLERI
pazar yeri sonrası sokak pis,TEMIZLIK_ISLERI
köpek dışkısı kaldırımda temizlenmeli,TEMIZLIK_ISLERI
kağıt plastik atıklar rüzgarda saçıldı,TEMIZLIK_ISLERI
çöp kutusu kırık atık yere dökülüyor,TEMIZLIK_ISLERI
deniz kenarı çöp birikmiş,TEMIZLIK_ISLERI
park içinde çöp yığını var,TEMIZLIK_ISLERI
inşaat atığı sokakta bırakılmış,TEMIZLIK_ISLERI
kırık cam şişe kaldırımda,TEMIZLIK_ISLERI
sokak leğeni taşıyor koku yapıyor,TEMIZLIK_ISLERI
geri dönüşüm kutusu dolu taşıyor,TEMIZLIK_ISLERI
çöp kamyonu erken saatte gelmedi,TEMIZLIK_ISLERI
mahalle arası çöp konteyneri eksik,TEMIZLIK_ISLERI
sokak köşesinde atık yığını,TEMIZLIK_ISLERI
çöpler çok dolu konteyner yetmiyor,TEMIZLIK_ISLERI
sahil yürüyüş yolunda pislik var,TEMIZLIK_ISLERI
